"coder","category","item","code"
0,"type-Comparison","27_type5",false
0,"type-Cause/Effect","27_type5",false
0,"type-Global Pattern","27_type5",true
0,"type","27_type5","[{""text"":""Global Pattern""}]"
0,"industry","28_industry1","[{""text"":""Group Mention""}]"
0,"industry","28_industry2","[{""text"":""Group Mention""}]"
0,"industry","28_industry3","[{""text"":""Group Mention""}]"
0,"type-Comparison","28_type1",false
0,"type-Cause/Effect","28_type1",false
0,"type-Global Pattern","28_type1",true
0,"type","28_type1","[{""text"":""Global Pattern""}]"
0,"type-Comparison","28_type2",false
0,"type-Cause/Effect","28_type2",false
0,"type-Global Pattern","28_type2",true
0,"type","28_type2","[{""text"":""Global Pattern""}]"
0,"type-Comparison","28_type3",false
0,"type-Cause/Effect","28_type3",false
0,"type-Global Pattern","28_type3",true
